x0000,y0000,x0001,y0001
25.1,42.19,251,30,
25.2,42.19,252,30,
25.3,42.19,253,30,
25.4,42.19,254,30,
25.5,42.19,255,30,
25.6,42.19,256,30,
25.7,42.44,257,30,
25.8,42.44,258,30,
25.9,42.44,259,30,
26,42.44,260,30,
26.1,42.44,261,30,
26.2,42.44,262,30,
26.3,42.69,263,30,
26.4,42.69,264,30,
26.5,42.69,265,30,
26.6,42.69,266,30,
26.7,42.69,267,30,
26.8,42.69,268,30,
26.9,42.88,269,30,
27,42.88,270,30,
27.1,42.88,271,30,
27.2,42.88,272,30,
27.3,42.88,273,30,
27.4,42.88,274,30,
27.5,43.13,275,30,
27.6,43.13,276,30,
27.7,43.13,277,30,
27.8,43.13,278,30,
27.9,43.13,279,30,
28,43.13,280,30,
28.1,43.31,281,30,
28.2,43.31,282,30,
28.3,43.31,283,30,
28.4,43.31,284,30,
28.5,43.31,285,30,
28.6,43.31,286,30,
28.7,43.56,287,30,
28.8,43.56,288,30,
28.9,43.56,289,30,
29,43.56,290,30,
29.1,43.56,291,30,
29.2,43.56,292,30,
29.3,43.75,293,30,
29.4,43.75,294,30,
29.5,43.75,295,30,
29.6,43.75,296,30,
29.7,43.75,297,30,
29.8,43.75,298,30,
29.9,43.94,299,30,
30,43.94,300,30,
30.1,43.94,301,30,
30.2,43.94,302,30,
30.3,43.94,303,30,
30.4,43.94,304,30,
30.5,44.19,305,30,
30.6,44.19,306,30,
30.7,44.19,307,30,
30.8,44.19,308,30,
30.9,44.19,309,30,
31,44.19,310,30,
31.1,44.38,311,30,
31.2,44.38,312,30,
31.3,44.38,313,30,
31.4,44.38,314,30,
31.5,44.38,315,30,
31.6,44.38,316,30,
31.7,44.56,317,30,
31.8,44.56,318,30,
31.9,44.56,319,30,
32,44.56,320,30,
32.1,44.56,321,30,
32.2,44.56,322,30,
32.3,44.75,323,30,
32.4,44.75,324,30,
32.5,44.75,325,30,
32.6,44.75,326,30,
32.7,44.75,327,30,
32.8,44.75,328,30,
32.9,44.94,329,30,
33,44.94,330,30,
33.1,44.94,331,30,
33.2,44.94,332,30,
33.3,44.94,333,30,
33.4,44.94,334,30,
33.5,45.13,335,30,
33.6,45.13,336,30,
33.7,45.13,337,30,
33.8,45.13,338,30,
33.9,45.13,339,30,
34,45.13,340,30,
34.1,45.31,341,30,
34.2,45.31,342,30,
34.3,45.31,343,30,
34.4,45.31,344,30,
34.5,45.31,345,30,
34.6,45.31,346,30,
34.7,45.5,347,30,
34.8,45.5,348,30,
34.9,45.5,349,30,
35,45.5,350,30,
35.1,45.5,351,30,
35.2,45.5,352,30,
35.3,45.69,353,30,
35.4,45.69,354,30,
35.5,45.69,355,30,
35.6,45.69,356,30,
35.7,45.69,357,30,
35.8,45.69,358,30,
35.9,45.88,359,30,
36,45.88,360,30,
36.1,45.88,361,30,
36.2,45.88,362,30,
36.3,45.88,363,30,
36.4,45.88,364,30,
36.5,46.06,365,30,
36.6,46.06,366,30,
36.7,46.06,367,30,
36.8,46.06,368,30,
36.9,46.06,369,30,
37,46.06,370,30,
37.1,46.19,371,30,
37.2,46.19,372,30,
37.3,46.19,373,30,
37.4,46.19,374,30,
37.5,46.19,375,30,
37.6,46.19,376,30,
37.7,46.38,377,30,
37.8,46.38,378,30,
37.9,46.38,379,30,
38,46.38,380,30,
38.1,46.38,381,30,
38.2,46.38,382,30,
38.3,46.56,383,30,
38.4,46.56,384,30,
38.5,46.56,385,30,
38.6,46.56,386,30,
38.7,46.56,387,30,
38.8,46.56,388,30,
38.9,46.75,389,30,
39,46.75,390,30,
39.1,46.75,391,30,
39.2,46.75,392,30,
39.3,46.75,393,30,
39.4,46.75,394,30,
39.5,46.88,395,30,
39.6,46.88,396,30,
39.7,46.88,397,30,
39.8,46.88,398,30,
39.9,46.88,399,30,
40,46.88,400,30,
40.1,47.06,401,30,
40.2,47.06,402,30,
40.3,47.06,403,30,
40.4,47.06,404,30,
40.5,47.06,405,30,
40.6,47.06,406,30,
40.7,47.25,407,30,
40.8,47.25,408,30,
40.9,47.25,409,30,
41,47.25,410,30,
41.1,47.25,411,30,
41.2,47.25,412,30,
41.3,47.44,413,30,
41.4,47.44,414,30,
41.5,47.44,415,30,
41.6,47.44,416,30,
41.7,47.44,417,30,
41.8,47.44,418,30,
41.9,47.56,419,30,
42,47.56,420,30,
42.1,47.56,421,30,
42.2,47.56,422,30,
42.3,47.56,423,30,
42.4,47.56,424,30,
42.5,47.75,425,30,
42.6,47.75,426,30,
42.7,47.75,427,30,
42.8,47.75,428,30,
42.9,47.75,429,30,
43,47.75,430,30,
43.1,47.88,431,30,
43.2,47.88,432,30,
43.3,47.88,433,30,
43.4,47.88,434,30,
43.5,47.88,435,30,
43.6,47.88,436,30,
43.7,48.06,437,30,
43.8,48.06,438,30,
43.9,48.06,439,30,
44,48.06,440,30,
44.1,48.06,441,30,
44.2,48.06,442,30,
44.3,48.19,443,30,
44.4,48.19,444,30,
44.5,48.19,445,30,
44.6,48.19,446,30,
44.7,48.19,447,30,
44.8,48.19,448,30,
44.9,48.31,449,30,
45,48.31,450,30,
45.1,48.31,451,30,
45.2,48.31,452,30,
45.3,48.31,453,30,
45.4,48.31,454,30,
45.5,48.5,455,30,
45.6,48.5,456,30,
45.7,48.5,457,30,
45.8,48.5,458,30,
45.9,48.5,459,30,
46,48.5,460,30,
46.1,48.63,461,30,
46.2,48.63,462,30,
46.3,48.63,463,30,
46.4,48.63,464,30,
46.5,48.63,465,30,
46.6,48.63,466,30,
46.7,48.81,467,30,
46.8,48.81,468,30,
46.9,48.81,469,30,
47,48.81,470,30,
47.1,48.81,471,30,
47.2,48.81,472,30,
47.3,48.94,473,30,
47.4,48.94,474,30,
47.5,48.94,475,30,
47.6,48.94,476,30,
47.7,48.94,477,30,
47.8,48.94,478,30,
47.9,49.13,479,30,
48,49.13,480,30,
48.1,49.13,481,30,
48.2,49.13,482,30,
48.3,49.13,483,30,
48.4,49.13,484,30,
48.5,49.25,485,30,
48.6,49.25,486,30,
48.7,49.25,487,30,
48.8,49.25,488,30,
48.9,49.25,489,30,
49,49.25,490,30,
49.1,49.38,491,30,
49.2,49.38,492,30,
49.3,49.38,493,30,
49.4,49.38,494,30,
49.5,49.38,495,30,
49.6,49.38,496,30,
49.7,49.5,497,30,
49.8,49.5,498,30,
49.9,49.5,499,30,
50,49.5,500,30,
50.1,49.5,501,30,
50.2,49.5,502,30,
50.3,49.63,503,30,
50.4,49.63,504,30,
50.5,49.63,505,30,
50.6,49.63,506,30,
50.7,49.63,507,30,
50.8,49.63,508,30,
50.9,49.75,509,30,
51,49.75,510,30,
51.1,49.75,511,30,
51.2,49.75,512,30,
